BOUND,DT,VMIN,VMAX,MARGIN,START,GOAL,OBSTACLES,OPTIMIZE,STATUS,TOTAL STEPS,LENGTH,BUILD TIME (ms),SOLVE TIME (ms),TOTAL TIME (ms),DATA POINTS
388.714,1.219,-2.657,2.657,1.738,"(0.0,0.0,42.759,42.759)","(345.955,345.955,388.714,388.714)","[(208.848,43.871,235.202,70.225),(190.787,74.967,226.107,110.287),(203.534,264.894,227.611,288.971),(30.619,154.966,59.781,184.128),(146.224,309.607,165.766,329.149),(40.006,121.806,78.45,160.25),(84.047,168.924,113.471,198.348),(152.01,169.868,189.627,207.485),(154.276,21.935,175.985,43.644),(95.35,264.478,116.936,286.064),(77.599,11.474,111.248,45.123),(106.066,305.226,130.285,329.445),(51.609,42.165,85.549,76.105),(273.552,223.106,294.971,244.525)]",FALSE,,,,,,,
718.821,1.846,-4.538,4.538,2.434,"(0.0,0.0,66.132,66.132)","(652.689,652.689,718.821,718.821)","[(441.342,284.495,480.881,324.034),(39.673,200.358,85.406,246.091),(214.531,514.54,277.607,577.616),(477.68,390.819,517.841,430.98),(572.458,610.395,617.589,655.526),(223.017,119.482,277.091,173.556),(203.757,658.883,254.244,709.37),(504.146,617.232,549.152,662.238),(46.902,424.149,83.784,461.031),(538.233,632.748,595.124,689.639),(520.479,50.403,575.155,105.079),(283.875,447.695,334.309,498.129),(404.836,14.441,471.723,81.328),(347.345,290.569,417.362,360.586),(578.318,417.632,622.854,462.168)]",TRUE,,,,,,,
773.206,1.949,-4.847,4.847,2.452,"(0.0,0.0,98.197,98.197)","(675.009,675.009,773.206,773.206)","[(482.636,702.486,547.517,767.367),(650.02,297.906,701.761,349.647),(241.6,407.781,303.601,469.782),(571.034,391.492,627.84,448.298),(193.269,282.1,268.214,357.045),(32.406,294.84,89.777,352.211),(68.178,157.416,110.581,199.819),(253.708,99.481,309.371,155.144),(403.498,610.825,445.064,652.391),(699.425,139.812,763.761,204.148)]",TRUE,,,,,,,
310.181,1.07,-2.21,2.21,1.805,"(0.0,0.0,39.703,39.703)","(270.478,270.478,310.181,310.181)","[(197.263,260.529,227.666,290.932),(164.542,87.208,193.828,116.494),(141.399,132.729,162.957,154.287),(14.611,162.687,40.334,188.41),(179.038,262.443,201.685,285.09),(95.839,20.226,120.602,44.989),(277.157,269.007,303.153,295.003),(132.5,23.931,161.215,52.646),(217.521,84.764,246.056,113.299),(65.798,98.318,90.726,123.246)]",TRUE,,,,,,,
453.318,1.342,-3.025,3.025,1.887,"(0.0,0.0,41.252,41.252)","(412.066,412.066,453.318,453.318)","[(293.675,16.586,335.555,58.466),(180.804,124.919,225.185,169.3),(394.626,132.168,428.011,165.553),(236.919,144.78,265.094,172.955),(232.696,193.952,267.615,228.871),(316.577,177.095,361.36,221.878),(287.545,362.375,328.4,403.23),(45.515,159.95,80.413,194.848),(221.458,363.882,253.481,395.905)]",TRUE,,,,,,,
476.081,1.385,-3.155,3.155,2.121,"(0.0,0.0,55.701,55.701)","(420.38,420.38,476.081,476.081)","[(423.259,387.449,460.792,424.982),(119.818,312.81,158.838,351.83),(148.254,62.151,189.591,103.488),(156.665,76.923,195.646,115.904),(431.144,105.081,469.092,143.029),(418.776,158.295,464.351,203.87),(94.165,177.765,137.499,221.099),(238.088,73.043,264.155,99.11),(184.531,437.745,220.321,473.535),(427.69,349.859,463.46,385.629),(341.412,434.093,382.602,475.283),(104.768,427.638,148.129,470.999),(179.802,265.442,216.673,302.313),(144.768,409.06,181.768,446.06),(359.885,105.775,398.299,144.189)]",TRUE,,,,,,,
167.492,0.799,-1.397,1.397,1.494,"(0.0,0.0,18.927,18.927)","(148.565,148.565,167.492,167.492)","[(145.019,134.499,156.058,145.538),(33.107,39.384,46.713,52.99),(39.611,122.392,53.609,136.39),(23.865,143.048,32.263,151.446),(17.826,68.959,29.564,80.697),(87.232,70.957,99.757,83.482),(10.835,122.27,24.846,136.281),(33.803,99.821,42.906,108.924)]",TRUE,,,,,,,
509.816,1.449,-3.347,3.347,2.029,"(0.0,0.0,50.472,50.472)","(459.344,459.344,509.816,509.816)","[(70.689,444.59,120.004,493.905),(126.335,186.111,159.271,219.047),(314.984,378.493,352.064,415.573),(61.532,458.561,92.704,489.733),(134.035,238.119,178.451,282.535),(263.389,376.645,296.945,410.201),(258.574,449.507,303.563,494.496),(224.994,358.535,254.189,387.73)]",FALSE,,,,,,,
385.466,1.213,-2.639,2.639,1.87,"(0.0,0.0,48.954,48.954)","(336.512,336.512,385.466,385.466)","[(285.407,127.627,305.645,147.865),(153.134,305.877,188.954,341.697),(185.473,237.506,223.041,275.074),(317.936,280.714,350.821,313.599),(40.174,179.805,64.711,204.342),(7.233,181.494,38.287,212.548),(210.754,126.277,248.471,163.994),(78.053,244.274,102.371,268.592),(2.65,116.03,31.597,144.977),(133.065,139.087,166.484,172.506),(275.97,133.238,297.879,155.147),(56.463,196.785,86.055,226.377),(204.893,251.077,239.052,285.236)]",FALSE,,,,,,,
405.371,1.251,-2.752,2.752,1.993,"(0.0,0.0,37.7,37.7)","(367.671,367.671,405.371,405.371)","[(263.841,286.078,300.767,323.004),(86.041,170.015,118.872,202.846),(113.794,60.598,136.006,82.81),(5.869,175.142,36.63,205.903),(294.758,154.846,316.974,177.062),(325.474,209.257,362.012,245.795),(13.478,336.483,35.034,358.039),(222.238,246.14,245.896,269.798),(64.463,23.668,102.896,62.101),(344.405,82.596,369.235,107.426),(182.771,258.369,217.468,293.066),(29.569,107.839,58.977,137.247),(328.046,307.771,358.857,338.582),(274.488,347.348,304.961,377.821),(42.752,165.732,68.034,191.014)]",FALSE,,,,,,,
659.508,1.733,-4.2,4.2,2.466,"(0.0,0.0,77.162,77.162)","(582.346,582.346,659.508,659.508)","[(338.679,577.656,388.302,627.279),(30.047,21.798,95.671,87.422),(486.249,258.726,542.137,314.614),(125.352,203.94,167.631,246.219),(419.492,20.221,482.419,83.148),(492.093,430.961,538.219,477.087),(229.167,92.055,287.044,149.932),(202.788,6.096,268.5,71.808),(135.698,505.597,192.018,561.917),(482.993,31.277,538.802,87.086),(540.872,113.018,590.907,163.053)]",FALSE,,,,,,,
491.017,1.413,-3.24,3.24,2.092,"(0.0,0.0,35.353,35.353)","(455.664,455.664,491.017,491.017)","[(130.76,342.019,169.627,380.886),(364.043,205.612,395.121,236.69),(208.505,164.715,244.921,201.131),(96.787,218.181,137.552,258.946),(222.449,365.694,262.693,405.938),(138.786,355.324,181.617,398.155),(281.203,365.266,315.543,399.606),(14.394,212.429,60.775,258.81),(85.905,159.736,125.833,199.664),(128.974,338.479,154.625,364.13),(414.628,200.362,459.842,245.576),(195.341,329.446,223.448,357.553),(170.911,345.836,211.995,386.92),(322.468,242.102,366.513,286.147)]",FALSE,,,,,,,
369.329,1.182,-2.547,2.547,1.755,"(0.0,0.0,24.376,24.376)","(344.953,344.953,369.329,369.329)","[(263.77,263.765,295.785,295.78),(219.684,36.413,242.562,59.291),(197.345,323.262,234.103,360.02),(11.689,194.774,40.397,223.482),(36.427,143.487,63.259,170.319),(309.18,42.107,335.626,68.553),(67.208,49.05,97.274,79.116),(212.623,25.816,235.173,48.366),(64.019,270.959,100.883,307.823),(119.077,159.492,142.992,183.407),(166.346,253.809,189.555,277.018),(79.562,316.945,113.76,351.143),(104.275,22.182,126.45,44.357),(338.435,39.833,368.381,69.779),(124.647,247.665,148.554,271.572)]",TRUE,,,,,,,
543.414,1.513,-3.538,3.538,2.12,"(0.0,0.0,28.258,28.258)","(515.156,515.156,543.414,543.414)","[(305.691,397.753,339.336,431.398),(453.672,258.495,487.011,291.834),(444.289,227.835,472.979,256.525),(459.556,325.197,507.645,373.286),(256.416,193.465,303.485,240.534),(414.597,257.739,452.784,295.926),(324.939,3.413,355.405,33.879),(240.476,169.4,294.541,223.465),(422.814,308.048,454.887,340.121),(112.664,418.219,147.159,452.714),(326.019,305.776,372.091,351.848)]",TRUE,,,,,,,
439.809,1.316,-2.948,2.948,1.899,"(0.0,0.0,64.652,64.652)","(375.157,375.157,439.809,439.809)","[(178.282,288.511,200.275,310.504),(111.024,33.529,138.619,61.124),(210.145,52.329,249.409,91.593),(64.243,360.847,103.801,400.405),(203.035,286.639,227.276,310.88),(323.818,125.495,361.191,162.868),(170.323,340.856,198.596,369.129),(66.963,71.765,109.292,114.094)]",FALSE,,,,,,,
617.953,1.654,-3.963,3.963,2.21,"(0.0,0.0,44.493,44.493)","(573.46,573.46,617.953,617.953)","[(442.863,148.913,479.457,185.507),(165.903,245.69,200.858,280.645),(379.739,71.368,429.162,120.791),(230.601,77.915,292.296,139.61),(239.736,425.39,301.291,486.945),(392.897,362.696,446.525,416.324),(386.1,235.418,441.311,290.629),(230.371,525.856,288.277,583.762)]",FALSE,,,,,,,
766.045,1.936,-4.807,4.807,2.495,"(0.0,0.0,60.518,60.518)","(705.527,705.527,766.045,766.045)","[(544.894,485.044,614.539,554.689),(497.909,409.664,566.51,478.265),(616.607,372.989,684.642,441.024),(616.465,555.796,678.512,617.843),(75.011,389.836,129.367,444.192),(662.062,554.257,734.425,626.62),(12.385,574.612,74.37,636.597),(538.189,265.866,592.403,320.08)]",FALSE,,,,,,,
739.741,1.886,-4.657,4.657,2.437,"(0.0,0.0,59.179,59.179)","(680.562,680.562,739.741,739.741)","[(385.097,65.229,424.423,104.555),(649.198,361.266,718.32,430.388),(542.951,67.158,580.366,104.573),(328.277,329.367,385.069,386.159),(22.372,342.233,71.425,391.286),(92.774,600.331,155.605,663.162),(217.33,112.422,263.615,158.707),(105.058,620.954,171.345,687.241),(321.254,188.744,366.557,234.047),(50.592,522.847,123.808,596.063),(276.767,366.117,328.842,418.192),(408.159,379.243,478.801,449.885)]",TRUE,,,,,,,
617.027,1.653,-3.958,3.958,2.37,"(0.0,0.0,75.894,75.894)","(541.133,541.133,617.027,617.027)","[(494.504,484.579,546.835,536.91),(103.895,296.731,162.822,355.658),(223.06,231.861,267.286,276.087),(103.034,83.637,162.873,143.476),(389.323,392.248,445.483,448.408),(266.525,17.51,325.67,76.655),(452.693,98.87,496.166,142.343),(539.451,338.387,581.964,380.9),(448.415,262.454,485.907,299.946),(495.692,358.348,548.388,411.044),(436.21,202.329,491.138,257.257)]",FALSE,,,,,,,
91.24,0.654,-0.963,0.963,1.157,"(0.0,0.0,5.474,5.474)","(85.766,85.766,91.24,91.24)","[(43.296,79.189,48.303,84.196),(40.252,22.072,45.136,26.956),(35.756,21.023,43.659,28.926),(38.791,24.713,46.489,32.411),(35.712,71.889,43.09,79.267),(68.233,73.639,75.572,80.978),(14.665,42.883,22.676,50.894),(66.24,33.819,73.772,41.351)]",FALSE,,,,,,,
209.974,0.88,-1.639,1.639,1.475,"(0.0,0.0,19.318,19.318)","(190.656,190.656,209.974,209.974)","[(56.577,132.981,73.188,149.592),(118.163,30.426,129.739,42.002),(83.373,18.392,97.629,32.648),(138.506,30.833,158.892,51.219),(153.395,137.922,166.103,150.63),(96.5,137.311,114.311,155.122),(66.284,38.069,81.267,53.052),(88.808,119.411,101.689,132.292),(194.1,135.896,209.95,151.746),(70.985,36.033,90.721,55.769),(179.835,86.047,191.218,97.43),(126.257,96.223,139.44,109.406),(69.316,40.601,83.267,54.552),(50.556,37.281,64.003,50.728)]",FALSE,,,,,,,
31.715,0.541,-0.624,0.624,1.191,"(0.0,0.0,4.313,4.313)","(27.402,27.402,31.715,31.715)","[(10.425,14.602,13.366,17.543),(14.714,23.05,17.578,25.914),(6.233,2.889,9.127,5.783),(6.764,1.877,9.312,4.425),(9.687,1.483,11.712,3.508),(8.61,0.754,11.242,3.386),(0.72,28.316,2.974,30.57),(16.59,0.614,19.356,3.38),(1.63,3.277,4.168,5.815)]",TRUE,,,,,,,
644.792,1.705,-4.116,4.116,2.353,"(0.0,0.0,83.178,83.178)","(561.614,561.614,644.792,644.792)","[(585.827,367.255,630.972,412.4),(499.447,373.173,555.405,429.131),(446.725,514.657,489.352,557.284),(62.578,221.848,115.155,274.425),(78.271,297.716,130.023,349.468),(362.754,227.294,404.957,269.497),(224.612,428.993,271.64,476.021),(404.302,129.049,449.962,174.709),(290.813,437.46,354.482,501.129),(220.957,176.378,279.39,234.811),(575.536,59.582,623.534,107.58),(195.605,154.81,246.177,205.382),(323.091,125.637,378.321,180.867),(43.817,428.934,83.492,468.609),(273.324,146.842,336.55,210.068)]",FALSE,,,,,,,
488.464,1.408,-3.225,3.225,1.93,"(0.0,0.0,51.777,51.777)","(436.687,436.687,488.464,488.464)","[(154.526,210.077,180.546,236.097),(10.421,304.235,42.289,336.103),(399.96,237.276,447.373,284.689),(166.581,273.376,192.37,299.165),(76.383,4.539,108.492,36.648),(434.866,427.523,468.583,461.24),(159.402,432.626,185.859,459.083),(216.632,208.254,241.276,232.898),(163.014,356.365,211.803,405.154),(338.397,351.776,364.047,377.426),(457.665,351.375,485.551,379.261),(436.509,90.436,462.02,115.947),(275.292,12.27,307.422,44.4),(380.456,303.407,427.045,349.996)]",FALSE,,,,,,,
742.17,1.89,-4.671,4.671,2.399,"(0.0,0.0,108.357,108.357)","(633.813,633.813,742.17,742.17)","[(235.659,291.356,302.301,357.998),(693.021,381.476,741.67,430.125),(351.498,472.393,418.624,539.519),(432.635,659.136,501.537,728.038),(195.285,190.192,250.497,245.404),(571.494,154.676,619.69,202.872),(394.138,638.976,467.058,711.896),(144.984,200.919,206.366,262.301),(563.186,309.495,605.669,351.978),(565.028,55.584,609.801,100.357),(296.58,616.981,355.199,675.6),(441.895,50.76,512.228,121.093),(269.814,424.874,317.623,472.683)]",TRUE,,,,,,,
603.498,1.627,-3.881,3.881,2.362,"(0.0,0.0,43.452,43.452)","(560.046,560.046,603.498,603.498)","[(122.225,558.332,156.475,592.582),(335.752,141.482,395.143,200.873),(476.104,126.323,521.558,171.777),(425.955,10.514,472.647,57.206),(447.88,72.444,498.499,123.063),(104.123,351.759,147.766,395.402),(246.211,552.305,280.334,586.428),(55.327,134.191,113.268,192.132),(389.976,73.413,433.215,116.652),(57.548,408.821,114.335,465.608),(387.66,518.374,436.618,567.332)]",FALSE,,,,,,,
231.568,0.921,-1.762,1.762,1.483,"(0.0,0.0,30.567,30.567)","(201.001,201.001,231.568,231.568)","[(20.075,172.652,40.062,192.639),(183.25,208.59,202.941,228.281),(147.9,145.706,162.249,160.055),(69.815,58.522,83.308,72.015),(206.094,138.921,227.836,160.663),(10.847,81.801,23.548,94.502),(111.08,171.626,128.268,188.814),(174.342,192.801,193.079,211.538),(89.513,14.545,101.426,26.458)]",FALSE,,,,,,,
202.097,0.865,-1.594,1.594,1.414,"(0.0,0.0,16.572,16.572)","(185.525,185.525,202.097,202.097)","[(100.275,45.745,110.869,56.339),(71.347,126.858,90.374,145.885),(125.62,63.275,141.3,78.955),(139.353,8.521,151.385,20.553),(24.727,141.611,43.841,160.725),(130.093,46.03,148.554,64.491),(62.221,70.688,73.395,81.862),(174.36,106.763,188.97,121.373)]",FALSE,,,,,,,
419.803,1.278,-2.834,2.834,1.978,"(0.0,0.0,35.263,35.263)","(384.54,384.54,419.803,419.803)","[(87.735,333.876,110.772,356.913),(261.606,179.705,286.979,205.078),(8.728,218.563,50.192,260.027),(202.44,252.21,230.008,279.778),(334.058,45.353,364.43,75.725),(59.445,389.437,81.197,411.189),(353.23,189.997,383.674,220.441),(56.847,196.524,87.216,226.893)]",FALSE,,,,,,,
314.766,1.079,-2.236,2.236,1.749,"(0.0,0.0,22.663,22.663)","(292.103,292.103,314.766,314.766)","[(228.213,43.187,245.783,60.757),(89.026,116.424,112.859,140.257),(12.217,225.202,42.901,255.886),(27.892,73.456,48.063,93.627),(185.898,259.154,205.235,278.491),(102.67,2.678,130.736,30.744),(283.059,151.721,312.243,180.905),(6.251,78.863,29.558,102.17),(32.96,74.295,61.777,103.112),(163.218,197.421,190.705,224.908),(156.125,139.228,185.879,168.982),(151.955,104.497,169.606,122.148),(238.414,102.213,267.364,131.163)]",FALSE,,,,,,,
386.607,1.215,-2.645,2.645,1.819,"(0.0,0.0,34.021,34.021)","(352.586,352.586,386.607,386.607)","[(183.231,146.435,212.441,175.645),(21.244,187.793,44.176,210.725),(213.78,38.82,243.533,68.573),(132.527,308.05,167.423,342.946),(150.648,219.216,184.39,252.958),(58.691,161.088,95.515,197.912),(27.249,293.351,63.858,329.96),(113.027,137.711,138.149,162.833)]",FALSE,,,,,,,
503.521,1.437,-3.311,3.311,2.113,"(0.0,0.0,68.479,68.479)","(435.042,435.042,503.521,503.521)","[(155.164,180.504,202.784,228.124),(324.914,441.39,370.666,487.142),(236.103,240.15,261.441,265.488),(48.29,365.264,82.513,399.487),(258.82,372.596,306.99,420.766),(450.531,210.79,481.877,242.136),(116.092,95.535,160.852,140.295),(427.431,372.706,469.478,414.753),(156.517,20.219,195.899,59.601),(312.832,88.71,354.249,130.127),(186.67,176.069,222.106,211.505),(20.065,363.477,58.194,401.606)]",FALSE,,,,,,,
665.588,1.745,-4.234,4.234,2.453,"(0.0,0.0,42.598,42.598)","(622.99,622.99,665.588,665.588)","[(168.327,550.094,206.752,588.519),(622.948,241.493,661.342,279.887),(178.72,62.319,214.111,97.71),(595.328,449.451,643.152,497.275),(324.807,595.467,379.571,650.231),(381.686,124.409,423.884,166.607),(58.714,511.981,93.241,546.508),(309.507,138.088,353.299,181.88),(353.112,236.352,395.673,278.913)]",FALSE,,,,,,,
469.884,1.373,-3.12,3.12,1.884,"(0.0,0.0,57.326,57.326)","(412.558,412.558,469.884,469.884)","[(389.721,398.236,424.041,432.556),(55.105,92.993,92.143,130.031),(337.525,262.727,368.844,294.046),(46.793,75.463,84.22,112.89),(407.913,276.81,451.446,320.343),(239.261,323.465,271.707,355.911),(127.746,414.48,164.208,450.942),(126.028,268.296,171.428,313.696),(126.54,144.022,155.141,172.623)]",FALSE,,,,,,,
448.071,1.332,-2.995,2.995,1.875,"(0.0,0.0,66.763,66.763)","(381.308,381.308,448.071,448.071)","[(210.033,105.667,245.132,140.766),(32.471,363.732,59.769,391.03),(118.557,147.953,162.025,191.421),(305.146,381.916,335.094,411.864),(255.185,187.811,298.277,230.903),(16.956,128.984,46.489,158.517),(261.887,173.182,296.581,207.876),(158.586,171.093,181.408,193.915),(67.65,190.389,99.838,222.577),(222.874,409.072,259.126,445.324),(295.735,88.355,321.682,114.302),(24.844,80.685,68.203,124.044),(297.425,268.344,326.151,297.07),(6.979,236.834,41.558,271.413),(188.054,117.968,213.306,143.22)]",TRUE,,,,,,,
152.598,0.771,-1.312,1.312,1.354,"(0.0,0.0,14.955,14.955)","(137.643,137.643,152.598,152.598)","[(65.468,72.144,73.13,79.806),(85.372,14.571,98.588,27.787),(4.81,143.049,13.882,152.121),(10.868,103.709,21.95,114.791),(134.666,81.282,149.761,96.377),(66.978,2.627,78.137,13.786),(49.277,28.815,62.609,42.147),(53.281,22.557,62.924,32.2),(40.175,125.193,54.313,139.331),(106.36,90.806,119.62,104.066),(40.345,82.792,49.125,91.572),(16.379,19.818,30.146,33.585),(49.852,40.052,58.99,49.19)]",TRUE,,,,,,,
613.065,1.645,-3.935,3.935,2.21,"(0.0,0.0,55.789,55.789)","(557.276,557.276,613.065,613.065)","[(21.045,129.451,55.543,163.949),(273.018,509.122,328.053,564.157),(260.692,220.111,295.386,254.805),(50.322,272.293,96.022,317.993),(258.473,476.019,304.698,522.244),(216.818,311.257,273.078,367.517),(194.17,292.518,227.459,325.807),(489.582,342.734,547.271,400.423),(512.074,390.218,552.815,430.959),(338.212,354.866,374.987,391.641),(510.902,546.235,560.575,595.908),(532.097,473.419,566.419,507.741)]",FALSE,,,,,,,
390.829,1.223,-2.669,2.669,1.754,"(0.0,0.0,45.336,45.336)","(345.493,345.493,390.829,390.829)","[(154.033,244.647,186.659,277.273),(42.541,66.317,65.301,89.077),(111.738,325.999,146.4,360.661),(105.911,159.496,134.05,187.635),(106.133,265.07,134.304,293.241),(87.566,171.608,115.077,199.119),(197.902,226.925,225.196,254.219),(95.006,291.779,133.192,329.965),(49.864,218.223,82.586,250.945),(131.921,39.636,160.778,68.493),(45.512,300.579,70.948,326.015),(76.006,154.252,107.041,185.287),(289.749,206.17,318.631,235.052)]",TRUE,,,,,,,
187.225,0.837,-1.51,1.51,1.494,"(0.0,0.0,22.093,22.093)","(165.132,165.132,187.225,187.225)","[(50.275,109.679,63.179,122.583),(40.253,129.562,49.841,139.15),(44.587,4.91,60.196,20.519),(60.542,105.509,75.382,120.349),(84.046,85.993,99.628,101.575),(58.404,155.682,69.108,166.386),(101.061,139.092,112.264,150.295),(24.327,77.251,38.339,91.263),(166.475,147.955,181.311,162.791),(52.379,97.921,62.35,107.892)]",TRUE,,,,,,,
718.645,1.846,-4.537,4.537,2.502,"(0.0,0.0,90.549,90.549)","(628.096,628.096,718.645,718.645)","[(188.982,229.797,244.13,284.945),(83.543,215.686,154.674,286.817),(589.612,477.155,646.606,534.149),(440.095,553.507,496.41,609.822),(339.374,549.882,377.789,588.297),(18.222,163.258,60.663,205.699),(583.867,540.814,630.39,587.337),(477.902,249.726,526.07,297.894),(587.037,416.653,649.939,479.555),(643.13,475.503,706.991,539.364),(518.639,578.272,580.363,639.996),(291.9,468.027,357.041,533.168),(636.656,236.774,702.542,302.66),(515.727,609.055,582.705,676.033)]",FALSE,,,,,,,
657.311,1.729,-4.187,4.187,2.445,"(0.0,0.0,44.04,44.04)","(613.271,613.271,657.311,657.311)","[(436.798,542.698,478.99,584.89),(472.245,404.747,531.326,463.828),(81.372,178.232,123.232,220.092),(135.364,130.317,171.385,166.338),(202.761,441.214,236.94,475.393),(1.544,59.741,45.698,103.895),(137.99,572.305,190.523,624.838),(374.414,397.248,439.956,462.79),(253.001,611.226,288.121,646.346),(247.379,403.446,306.525,462.592),(17.697,58.815,75.274,116.392)]",TRUE,,,,,,,
199.934,0.861,-1.582,1.582,1.373,"(0.0,0.0,20.593,20.593)","(179.341,179.341,199.934,199.934)","[(103.738,105.659,121.07,122.991),(73.775,142.342,92.686,161.253),(176.006,47.225,189.589,60.808),(18.507,52.712,33.566,67.771),(85.186,161.915,96.73,173.459),(61.661,31.614,77.543,47.496),(37.599,179.446,51.057,192.904),(67.123,136.041,79.257,148.175)]",TRUE,,,,,,,
32.587,0.543,-0.629,0.629,1.266,"(0.0,0.0,3.356,3.356)","(29.231,29.231,32.587,32.587)","[(19.144,25.804,22.229,28.889),(4.792,19.937,6.738,21.883),(18.438,19.48,20.624,21.666),(2.784,26.71,5.194,29.12),(2.383,27.145,4.153,28.915),(24.732,27.974,27.153,30.395),(24.586,23.225,26.269,24.908),(9.411,5.82,11.108,7.517),(12.825,5.202,14.496,6.873)]",FALSE,,,,,,,
583.577,1.589,-3.767,3.767,2.204,"(0.0,0.0,68.279,68.279)","(515.298,515.298,583.577,583.577)","[(4.847,443.279,56.896,495.328),(535.747,0.563,581.928,46.744),(176.859,480.453,217.762,521.356),(177.014,102.16,211.453,136.599),(518.936,9.549,564.594,55.207),(134.163,505.179,177.342,548.358),(122.881,42.943,153.056,73.118),(30.74,439.827,60.559,469.646),(334.825,440.992,383.653,489.82),(241.451,310.653,276.887,346.089),(388.108,445.581,435.715,493.188)]",TRUE,,,,,,,
64.097,0.603,-0.808,0.808,1.141,"(0.0,0.0,4.102,4.102)","(59.995,59.995,64.097,64.097)","[(40.646,0.951,44.362,4.667),(59.88,54.495,63.64,58.255),(22.951,10.351,27.462,14.862),(30.63,57.419,34.341,61.13),(17.41,38.671,22.478,43.739),(39.817,16.02,45.897,22.1),(0.679,42.241,4.048,45.61),(21.167,44.137,25.485,48.455),(21.658,15.441,26.846,20.629),(58.302,40.914,63.725,46.337),(27.703,33.724,32.459,38.48)]",FALSE,,,,,,,
551.904,1.529,-3.587,3.587,2.142,"(0.0,0.0,44.704,44.704)","(507.2,507.2,551.904,551.904)","[(504.688,239.147,534.865,269.324),(397.854,37.265,439.743,79.154),(453.494,455.71,499.781,501.997),(454.608,202.079,489.325,236.796),(123.682,399.505,167.843,443.666),(359.847,3.029,399.922,43.104),(320.324,92.392,368.446,140.514),(491.338,396.53,525.969,431.161),(432.575,473.204,464.179,504.808),(451.611,177.966,505.157,231.512),(186.526,440.952,226.418,480.844),(270.238,190.128,314.535,234.425),(105.571,86.861,145.301,126.591)]",FALSE,,,,,,,
606.441,1.632,-3.897,3.897,2.326,"(0.0,0.0,64.889,64.889)","(541.552,541.552,606.441,606.441)","[(10.222,281.825,58.416,330.019),(315.622,509.443,362.375,556.196),(527.592,239.279,585.328,297.015),(425.003,2.488,483.624,61.109),(320.578,506.154,355.579,541.155),(494.374,491.564,542.806,539.996),(113.255,446.709,165.133,498.587),(489.545,259.012,535.257,304.724),(219.374,281.55,266.538,328.714),(534.858,436.865,570.13,472.137),(387.447,285.845,438.338,336.736)]",FALSE,,,,,,,
475.424,1.384,-3.151,3.151,1.942,"(0.0,0.0,58.953,58.953)","(416.471,416.471,475.424,475.424)","[(418.248,138.6,461.715,182.067),(11.697,423.926,54.837,467.066),(63.736,3.638,110.91,50.812),(175.826,43.361,221.644,89.179),(66.325,28.03,110.878,72.583),(55.972,155.549,94.99,194.567),(18.0,77.586,53.936,113.522),(311.869,131.492,342.491,162.114),(277.26,345.622,321.196,389.558),(97.974,268.646,132.665,303.337),(357.598,142.873,388.191,173.466)]",FALSE,,,,,,,
725.818,1.859,-4.577,4.577,2.4,"(0.0,0.0,102.34,102.34)","(623.478,623.478,725.818,725.818)","[(486.02,28.311,527.737,70.028),(347.374,344.037,387.539,384.202),(548.146,275.378,588.844,316.076),(629.575,416.737,675.927,463.089),(4.064,429.735,44.282,469.953),(637.885,527.886,694.642,584.643),(189.305,56.791,252.455,119.941),(169.334,276.245,218.369,325.28),(49.192,614.299,108.159,673.266),(653.85,240.344,690.502,276.996),(602.176,166.093,667.653,231.57),(378.038,465.114,429.401,516.477),(326.839,639.567,380.855,693.583)]",FALSE,,,,,,,
243.01,0.942,-1.827,1.827,1.553,"(0.0,0.0,27.46,27.46)","(215.55,215.55,243.01,243.01)","[(196.601,132.099,214.43,149.928),(176.789,197.995,200.915,222.121),(151.107,171.368,171.348,191.609),(156.069,195.228,175.266,214.425),(132.181,32.683,156.438,56.94),(199.536,45.76,218.868,65.092),(85.508,119.431,102.417,136.34),(209.278,100.581,231.856,123.159),(4.429,122.653,25.289,143.513),(0.723,156.581,22.067,177.925),(57.263,216.403,75.767,234.907),(67.201,48.428,81.949,63.176),(84.617,55.62,103.988,74.991)]",TRUE,,,,,,,
39.146,0.555,-0.666,0.666,1.091,"(0.0,0.0,4.854,4.854)","(34.292,34.292,39.146,39.146)","[(7.341,3.129,10.463,6.251),(17.158,3.638,19.27,5.75),(27.982,24.618,30.688,27.324),(25.82,33.832,28.692,36.704),(12.518,20.907,14.911,23.3),(31.253,15.862,34.188,18.797),(19.11,25.001,22.185,28.076),(11.103,32.514,13.466,34.877),(26.447,22.413,29.625,25.591),(8.494,34.971,11.04,37.517)]",TRUE,,,,,,,
785.652,1.973,-4.918,4.918,2.597,"(0.0,0.0,88.779,88.779)","(696.873,696.873,785.652,785.652)","[(118.73,542.39,179.819,603.479),(319.29,528.803,388.257,597.77),(620.322,121.547,684.231,185.456),(44.681,407.24,111.772,474.331),(208.454,441.316,264.393,497.255),(191.862,446.377,269.024,523.539),(380.061,341.401,441.747,403.087),(685.482,164.657,726.776,205.951),(365.648,530.021,408.787,573.16),(223.037,327.961,301.246,406.17),(90.186,652.228,147.143,709.185),(357.864,514.897,406.388,563.421),(545.084,458.442,587.413,500.771),(305.423,44.94,376.349,115.866),(659.546,629.384,728.977,698.815)]",FALSE,,,,,,,
